time,position,incremental_distance,incremental_gap,speed,acceleration,fuel_rate,infeasible_flag,space_gap,chunk_num
1627903901.8,240.16600547186164,-21.845842460168797,-24.600091844553106,27.440563774331437,,,0.0,227.3999081554469,1
1627903901.9,137.1847639814333,-102.98124149042835,-105.72713182937873,28.21856547221483,,,0.0,121.67277632606816,2
1627903901.9999998,68.43890304576682,-68.74586093566647,-71.51771331549251,28.72941813794245,,,0.0,50.155063010575645,3
1627903902.0999997,71.69380930237264,3.254906256605821,0.4829333164460792,28.614382523513207,-1.1503572413585794,0.1945,0.0,50.637996327021725,3
1627903902.1999996,74.81560381616865,3.1217945137960044,0.3620036729782754,28.546697274339287,-0.6768531372366501,1.6305516101876583,0.0,51.0,3
1627903902.2999997,77.5878006516532,2.77219683548455,0.0,28.581320438447246,0.3462311457919638,5.107677903763992,0.0,51.0,3
1627903902.3999994,80.37701339370781,2.789212742054616,0.0,28.588100626769542,0.06780210953691206,4.210308596336062,0.0,51.0,3
1627903902.4999993,83.16016975454102,2.7831563608332033,0.0,28.48261789118071,-1.054828361851045,0.8248666158425741,0.0,51.0,3
1627903902.5999992,85.95827371848046,2.7981039639394396,0.0,28.363018655765952,-1.1959934947358488,0.4005212926649665,0.0,51.0,3
1627903902.699999,88.73663158135159,2.7783578628711325,0.0,28.280772637650518,-0.8224609655142399,1.50549517189295,0.0,51.0,3
1627903902.799999,91.63880784667825,2.902176265326659,0.10402826770760498,28.165671457393824,-1.1510129002583822,0.4290974906672045,0.0,51.104028267707605,3
1627903902.899999,94.93998111926757,3.301173272589324,0.5006893834941977,28.198535573572734,0.3286414752060347,4.522064929307346,0.0,51.6047176512018,3
1627903902.9999988,98.13576325612789,3.1957821368603163,0.39528234879819735,28.15956407914677,-0.389715315921139,2.421596205724098,0.0,52.0,3
1627903903.0999987,100.9339206260562,2.798157369928319,0.0,28.115385860016445,-0.4417826126199638,2.610890798762171,0.0,52.0,3
1627903903.1999986,103.72887333227325,2.794952706217046,0.0,28.044198619334058,-0.7118730857189575,1.8116484834877222,0.0,52.0,3
1627903903.2999983,106.55563959765645,2.826766265383199,0.0,28.099306908797878,0.5510847340819559,5.679018020152661,0.0,52.0,3
1627903903.3999984,109.35380570037775,2.7981661027212965,0.0,28.078994054780214,-0.20312824959935064,3.3052874728597397,0.0,52.0,3
1627903903.4999983,112.18601132104737,2.832205620669626,0.0,27.956005469636402,-1.2298870243497866,0.2960368927508351,0.0,52.0,3
1627903903.5999982,114.99536146302093,2.809350141973553,0.0,27.858355620002264,-0.9764994276038022,1.02887246066576,0.0,52.0,3
1627903903.699998,117.81888792200614,2.8235264589852136,0.0,27.891640619902557,0.33285111001336615,4.885582345377309,0.0,52.0,3
1627903903.799998,120.64563854191888,2.826750619912744,0.0,27.905519072756046,0.13878433000232218,4.278433256102453,0.0,52.0,3
1627903903.899998,123.47233592028333,2.826697378364443,0.0,27.92229184831298,0.16772791552714314,4.3708392198356085,0.0,52.0,3
1627903903.999998,126.30471400033329,2.8323780800499634,0.0,27.9390576744098,0.16765802113146566,4.374425986978625,0.0,52.0,3
1627903904.0999978,129.1314240207451,2.8267100204118094,0.0,27.95279702805518,0.13739399505574212,4.284688356075034,0.0,52.0,3
1627903904.1999977,131.95261169367083,2.8211876729257312,0.0,27.969466826712075,0.1666981455446955,4.378365288000583,0.0,52.0,3
1627903904.2999976,134.77932743452322,2.826715740852393,0.0,27.98335572021614,0.13888906749556953,4.296049844089731,0.0,52.0,3
1627903904.3999977,137.6211717108926,2.841844276369386,0.0,27.93591954783364,-0.47436104524605144,2.4925194941362747,0.0,52.0,3
1627903904.4999974,140.44789458323436,2.8267228723417475,0.0,27.76321981982683,-1.7270030445626867,0.1945,0.0,52.0,3
1627903904.5999973,143.2809686989379,2.833074115703539,0.0,27.65331137216188,-1.0990855248191311,0.6681497110518783,0.0,52.0,3
1627903904.6999972,146.11168157507626,2.8307128761383638,0.0,27.64563099501313,-0.07680384473337327,3.594064152390861,0.0,52.0,3
1627903904.799997,148.94480867694196,2.833127101865699,0.0,27.668259206293776,0.22628232860611797,6.813333139922409,0.0,52.0,3
1627903904.899997,151.75801285639665,2.8132041794546865,0.0,27.65902128079208,-0.09237934311677909,7.0042915002098765,0.0,52.0,3
1627903904.999997,154.603022174022,2.8450093176253404,0.0,27.653311241244076,-0.0571004499352601,7.103419726581691,0.0,52.0,3
1627903905.0999968,157.41621609293352,2.813193918911537,0.0,27.65329852607685,-0.00012715179352813406,7.266560639022091,0.0,52.0,3
1627903905.1999967,184.163573911257,26.74735781832348,23.914253864917484,27.67594359865128,,,0.0,75.91425386491748,4
1627903905.2999966,285.32479821342,101.16122430216302,98.32814260077386,27.792799590067297,,,0.0,174.24239646569134,5
1627903905.3999965,347.3721929761358,62.04739476271578,59.23177871779174,28.13814823461947,,,0.0,233.47417518348308,6
1627903905.4999964,258.34728130605316,-89.02491167008264,-91.86039039570252,29.291349443288574,,,0.0,141.61378478778056,7
1627903905.5999963,187.44004453014233,-70.90723677591083,-73.72286034901435,29.890018161451998,,,0.0,67.8909244387662,8
1627903905.6999962,180.69216140830744,-6.747883121834889,-9.569036320496444,28.45163995425956,,,0.0,58.32188811826976,9
1627903905.799996,178.52436613215923,-2.1677952761482118,-4.994513890849014,27.69996182717925,,,0.0,53.32737422742075,10
1627903905.899996,191.32383804880283,12.799471916643597,9.955235500194632,29.280923320400984,,,0.0,63.28260972761538,11
1627903905.999996,201.84490668332973,10.521068634526898,7.71739027238462,30.49264831677808,,,0.0,71.0,12
