time,position,space_gap,time_gap,speed,acceleration,fuel_rate,infeasible_flag,acc,followerstopper_envelope
1627907571.1,1.9299009830208045,252.0,13.176460044354087,19.12501530393804,0.185989950524499,,0.0,0.0,Safe
1627907571.2,3.868580178163338,252.0,13.175668007887992,19.12616497692056,0.2492758198636664,2.809257455289834,0.0,0.0,Safe
1627907571.3,5.784443248724973,252.0,13.155445121759845,19.155566206055457,0.3387041152730505,2.983607178160781,0.0,0.0,Safe
1627907571.4,7.702480753011185,252.0,13.132598358575667,19.188891118065943,0.080361140812949,2.5154755152124797,0.0,0.0,Safe
1627907571.5,9.64355973586652,252.0,13.123093132750213,19.20278987970485,0.1861948393505589,2.706402275266587,0.0,0.0,Safe
1627907571.6,11.567300623149183,252.0,13.102238397897368,19.233354816719,0.2615925266726811,2.851191131983678,0.0,0.0,Safe
1627907571.7,13.505025361510878,252.0,13.079570507559527,19.26668768323493,0.0447027308455963,2.465377563024882,0.0,0.0,Safe
1627907571.8,15.451916479828643,252.0,13.070735828558904,19.27971028604163,0.2927457463964666,2.91852126000989,0.0,0.0,Safe
1627907571.9,17.392172252213545,252.0,13.058864566102908,19.297236656709053,0.3731747122279437,3.0776506063744744,0.0,0.0,Safe
1627907572.0,19.3238000730591,252.0,13.026985567992996,19.34445990476555,0.2510172925002972,2.8509925368580973,0.0,0.0,Safe
1627907572.1,21.264136000342795,252.0,13.026982218425825,19.34446487871629,0.2195329183369128,2.79195580154171,0.0,0.0,Safe
1627907572.2,23.226754621336337,252.0,13.006449045355293,19.375003824736563,0.2179025290674356,2.79419501224631,0.0,0.0,Safe
1627907572.3,25.17582032247957,252.0,13.000559708098962,19.383780826221773,0.2451749671580238,2.8469212385645406,0.0,0.0,Safe
1627907572.4,27.11544239994689,252.0,12.974813730803085,19.422244143801077,0.2642232205780231,2.8898982681696737,0.0,0.0,Safe
1627907572.5,29.084466229662183,252.0,12.955281176882814,19.451526876133308,0.1534908382360566,2.6880519260797193,0.0,0.0,Safe
1627907572.6,31.04390244343181,252.0,12.927502089175865,19.49332502610836,0.3603497594488356,3.090163867427128,0.0,0.0,Safe
1627907572.7,33.00723950724065,252.0,12.913956218507254,19.51377221171415,0.3846093795519451,3.142552903857807,0.0,0.0,Safe
1627907572.8,34.97526961854232,252.0,12.915373691381333,19.51163055918113,0.3891689848481536,3.1512835455997807,0.0,0.0,Safe
1627907572.9,36.94666361806448,252.0,12.864894534970789,19.58819011807563,0.2598793405007844,2.911381958756376,0.0,0.0,Safe
1627907573.0,38.92116910209412,252.0,12.872612911150734,19.57644510398571,0.0875366140597159,2.588493257693229,0.0,0.0,Safe
1627907573.1,40.87821699942811,252.0,12.841138718532482,19.624427827129587,0.3491807306741523,3.093180850964983,0.0,0.0,Safe
1627907573.2,42.863895048624414,252.0,12.841527289778314,19.62383401237551,0.381958659248115,3.158854776594032,0.0,0.0,Safe
1627907573.3,44.826470987242175,252.0,12.820792469001276,19.65557126123815,0.2161803289743642,2.839678996185244,0.0,0.0,Safe
1627907573.4,46.80091832131335,252.0,12.797970508551641,19.69062202726697,0.1816945652160145,2.7804590651310668,0.0,0.0,Safe
1627907573.5,48.80408363744808,252.0,12.788256972293757,19.70557837131108,0.2386333180824392,2.8914645048147034,0.0,0.0,Safe
1627907573.6,50.77858702656565,252.0,12.770160813970696,19.73350247275737,0.2788219261327948,2.974562441611779,0.0,0.0,Safe
1627907573.7,52.76415949405759,252.0,12.759474167253234,19.75003018907704,0.2735893491903328,2.967343099954509,0.0,0.0,Safe
1627907573.8,54.74983535939098,169.64889920831178,8.575559508108125,19.782837381970246,0.337729403986584,3.100673027032974,0.0,0.0,Safe
1627907573.9,56.74734698359095,62.1117660590028,3.1361183628102407,19.805300334182903,0.2695498738840616,2.9695259353121846,0.0,0.0,Adaptive II
1627907574.0,58.74727478980952,38.75396516248422,1.9528864038655498,19.844454385966586,0.2483772680559605,2.935198805745796,0.0,0.0,Adaptive I
1627907574.1,60.73290102871187,39.73522224678699,1.9987646112274624,19.879890820352863,0.2724654098923988,2.9889180258902104,0.0,0.0,Adaptive I
1627907574.2,62.747865958251886,40.713999625988585,2.0453693435179456,19.90545118661175,0.2123527154986235,2.876073541005013,0.0,0.0,Adaptive I
1627907574.3,64.75977891022745,41.70685790170128,2.0916908026077623,19.9393035766588,0.3652038664982179,3.1868258482100638,0.0,0.0,Adaptive I
1627907574.4,66.75171028053882,42.74043625505992,2.1388030515140453,19.983343592484697,0.3852027046262303,3.2367759856029643,0.0,0.0,Adaptive I
1627907574.5,68.7636148622656,43.79107049817642,2.1879108104731326,20.015016283367903,0.3899997745711971,3.2530750982126033,0.0,0.0,Adaptive I
1627907574.6,70.76429102358374,40.48974792608061,2.0197184263952654,20.047224106553077,0.3899999999999999,3.259543296350998,0.0,0.0,Adaptive I
1627907574.7,72.78490568245856,36.10816416782642,1.7980022147142916,20.082380250885357,0.3899788823389136,3.266567476929067,0.0,0.0,Adaptive I
1627907574.8,74.83406772638851,35.37373681375166,1.759156660971682,20.108349414550005,0.2697006160817558,3.025477197045488,0.0,0.0,Adaptive I
1627907574.9,76.85460112302398,35.879229451869065,1.781338203550856,20.14172793260072,0.3039932111021386,3.1009304800566193,0.0,0.0,Adaptive I
1627907575.0,78.85536940645214,36.7407181383952,1.8213498757305344,20.17224621582313,0.3215874641411084,3.142683086543799,0.0,0.0,Adaptive I
1627907575.1,80.9069201418066,37.713960527796566,1.8652314946982904,20.219452992829165,0.309894331272209,3.1277630903062916,0.0,0.0,Adaptive I
