time,position,space_gap,time_gap,speed,acceleration,fuel_rate,infeasible_flag,acc,followerstopper_envelope
1627908011.1,11507.791101249384,32.0,1.4441597280854919,22.158213788735186,-0.026044747721526,0.8118538836606951,0.0,0.0,Adaptive I
1627908011.2,11510.01948062724,32.0,1.4450516054325098,22.14453786958167,-0.0044439830946562,0.8557204341304606,0.0,0.0,Adaptive II
1627908011.3,11512.255160397475,31.62639631519087,1.4283637160379439,22.14169679618964,-0.1320939512747445,0.5916873301647372,0.0,0.0,Adaptive I
1627908011.4,11514.48434874445,31.13154386329207,1.4051337543765896,22.155573280000013,-0.0430051550401493,0.7766111271952771,0.0,0.0,Adaptive I
1627908011.5,11516.712730711262,31.0,1.3999945599189403,22.142943185289877,-0.0061378100748545,0.852122005914518,0.0,0.0,Adaptive I
1627908011.6,11518.94028945986,31.0,1.3992894193485828,22.154101625689105,-6.504792443756849e-05,0.865360624751226,0.0,0.0,Adaptive I
1627908011.7,11521.188952917017,31.0,1.397094525751866,22.188906640598933,-0.0006474531349616,0.8662927675253081,0.0,0.0,Adaptive I
1627908011.8,11523.418145044609,31.0,1.3970673758693677,22.189337848297622,0.1897483728870641,1.2759083769076025,0.0,0.0,Adaptive I
1627908011.9,11525.659499704963,31.0,1.3962205766032938,22.20279554640025,0.0730314881384915,1.0222460073440511,0.0,0.0,Adaptive I
1627908012.0,11527.910614626997,31.0,1.3951732933398069,22.219462018077547,0.0901096502332026,1.0600667571414553,0.0,0.0,Adaptive I
1627908012.1,11530.137354208273,31.0,1.3943017330785905,22.233351120888745,0.0882644601822374,1.0571221109178321,0.0,0.0,Adaptive I
1627908012.2,11532.401453880935,31.0,1.3942462482488662,22.234235909858192,0.0830240448034485,1.0459199748153638,0.0,0.0,Adaptive I
1627908012.3,11534.63631920712,31.0,1.3932573123604197,22.25001780000036,0.0575362394659362,0.9925400262603726,0.0,0.0,Adaptive I
1627908012.4,11536.871995655636,31.0,1.3932569547443854,22.25002351105251,0.1062018972488257,1.0971307525316356,0.0,0.0,Adaptive I
1627908012.5,11539.162062083196,30.60745237119192,1.3745850846668801,22.2666844800003,0.0120354065232427,0.8975772252473707,0.0,0.0,Adaptive I
1627908012.6,11541.398555685331,30.081639356182123,1.3519827613794253,22.25001694954297,0.00198898473339,0.8755478452294989,0.0,0.0,Adaptive I
1627908012.7,11543.653714582912,30.0,1.347304311379006,22.266684479985155,-8.775654619786965e-13,0.8724372933084438,0.0,0.0,Adaptive I
1627908012.8,11545.89670390689,30.0,1.3473043113390442,22.266684480645598,-9.983026746096088e-26,0.8724372933509261,0.0,0.0,Adaptive I
1627908012.9,11548.146996352789,30.0,1.348313528088503,22.25001780003709,-4.8244079945145904e-20,0.8714059572806583,0.0,0.0,Adaptive I
1627908013.0,11550.41109489803,30.0,1.3483136943016774,22.250015057169385,1.4069553204060975e-05,0.8714350751863321,0.0,0.0,Adaptive I
1627908013.1,11552.638646033807,30.0,1.3483135280907501,22.25001780000001,0.1199071041603874,1.1269376018659567,0.0,0.0,Adaptive I
1627908013.2,11554.881634804076,30.0,1.3483135280907497,22.250017800000016,0.0158440191866405,0.9044907220959935,0.0,0.0,Adaptive I
1627908013.3,11557.139238812684,29.56765908679516,1.3288824913567108,22.2500178,0.0029995717735164,0.8776536350265276,0.0,0.0,Adaptive I
1627908013.4,11559.368432432972,29.08407650508854,1.3071484601279073,22.25001780000001,4.152549637737008e-11,0.8714059573665912,0.0,0.0,Adaptive I
1627908013.5,11561.639015376284,29.0,1.3033697031888445,22.250018493638567,8.053495416215742e-22,0.871406000174854,0.0,0.0,Adaptive I
1627908013.6,11563.87551090011,29.0,1.3023942069060956,22.26668380911413,9.06727876053277e-26,0.8724372517711187,0.0,0.0,Adaptive I
1627908013.7,11566.118498530635,29.0,1.3023941676655044,22.266684479999995,-1.0996484011949043e-13,0.8724372933111891,0.0,0.0,Adaptive I
1627908013.8,11568.36879087112,29.0,1.3018984062175074,22.27516360839218,-4.6627860662370084e-08,0.8729623708500427,0.0,0.0,Adaptive I
1627908013.9,11570.6401947381,29.0,1.3006094215316697,22.297239678494712,0.1789708723986146,1.2612591731858902,0.0,0.0,Adaptive I
1627908014.0,11572.862892934732,29.0,1.299659627049731,22.313534556606125,0.1956758261091239,1.3001789949603506,0.0,0.0,Adaptive I
1627908014.1,11575.141601761909,29.0,1.298659275926094,22.33072256717964,0.2001286717218636,1.3117605385730347,0.0,0.0,Adaptive I
1627908014.2,11577.399206490432,29.0,1.2978547626055843,22.34456492017593,0.2730166275390082,1.479945747271925,0.0,0.0,Adaptive I
1627908014.3,11579.642190526356,28.578685320036595,1.2782103667784321,22.35835826622621,0.0826529129312334,1.0542232771802202,0.0,0.0,Adaptive I
1627908014.4,11581.893299403922,28.06432248681077,1.254270392642377,22.37501789999805,0.1952163464652603,1.3046360602367382,0.0,0.0,Adaptive I
1627908014.5,11584.163884959487,28.0,1.2504646498782244,22.39167656816749,0.2036507217990774,1.3252423041145445,0.0,0.0,Adaptive I
1627908014.6,11586.436924940028,28.0,1.249689057598695,22.40557347425496,0.0259819588978953,0.9359911146904489,0.0,0.0,Adaptive I
1627908014.7,11588.687216202585,28.0,1.2496890572782668,22.40557347999989,0.0949288134303388,1.0844215542894713,0.0,0.0,Adaptive I
1627908014.8,11590.951308054888,28.0,1.2496890743441593,22.405573174026895,0.3087150193765219,1.569772805509581,0.0,0.0,Adaptive I
1627908014.9,11593.20890793058,28.0,1.2487601850387497,22.422239542439563,0.0505747855349541,0.9896399383289431,0.0,0.0,Adaptive I
1627908015.0,11595.472998623934,28.0,1.2496894484503662,22.405566466709327,0.0079919954329114,0.8979110901443385,0.0,0.0,Adaptive I
1627908015.1,11597.74358139653,28.0,1.2504642022386805,22.391684583910656,0.0010516241070704,0.8824223219443237,0.0,0.0,Adaptive I
1627908015.2,11600.014980697062,28.0,1.2506929683160188,22.387588888182748,-0.1265738840175716,0.6141301179620362,0.0,0.0,Adaptive I
1627908015.3,11602.271761805432,28.0,1.251395681158021,22.37501728796863,-0.0948685889570872,0.680092744329565,0.0,0.0,Adaptive I
1627908015.4,11604.542343306486,28.0,1.2523291192580277,22.358339808140265,-0.177813311914903,0.5053957422287889,0.0,0.0,Adaptive I
1627908015.5,11606.800759262547,28.0,1.252371581902505,22.35758173102634,-0.0275046958502077,0.820431229257089,0.0,0.0,Adaptive I
1627908015.6,11609.06403511124,28.0,1.2523284821821141,22.358351182120785,-0.0870140384120784,0.6957315704533297,0.0,0.0,Adaptive I
1627908015.7,11611.341104446725,28.0,1.2531069461109878,22.344461569619323,-0.0122999207358997,0.8515065851305923,0.0,0.0,Adaptive I
1627908015.8,11613.577599259355,28.0,1.2540422961082143,22.327795551150864,-0.090175651858306,0.6875733367324192,0.0,0.0,Adaptive I
1627908015.9,11615.84817759863,28.0,1.2540548125628816,22.32757270216688,-0.0926500184549475,0.6823856426092485,0.0,0.0,Adaptive I
